Majority protein IDs,Protein names,Gene names,Mol. weight [kDa],iBAQ E1,iBAQ E2,iBAQ E3,iBAQ E4,iBAQ mass E1,iBAQ mass E2,iBAQ mass E3,iBAQ mass E4,Mori sector,wt_mass_fraction_rich,rela_mass_fraction_rich
P39829,D-galactarate dehydratase,garD,56.401,760.44,999.09,0.0,392.73,42889.576440000004,56349.675090000004,0.0,22150.36473,C,,
P23524,Glycerate 2-kinase,garK,39.104,0.0,0.0,1932.3,2423.5,0.0,0.0,75560.6592,94768.544,U,,
P0ABQ2,2-hydroxy-3-oxopropionate reductase,garR,30.427,10924.0,11136.0,38758.0,44489.0,332384.548,338835.072,1179289.666,1353666.803,S,,
P36930,Galactitol utilization operon repressor,gatR,12.403,38292.0,30510.0,39340.0,39707.0,474935.67600000004,378415.53,487934.02,492485.92100000003,S',,
P15877,Quinoprotein glucose dehydrogenase,gcd,86.746,120480.0,112420.0,345730.0,355680.0,10451158.08,9751985.32,29990694.58,30853817.279999997,A',,
P0A9F6,Glycine cleavage system transcriptional activator,gcvA,34.401,48626.0,49383.0,95554.0,101110.0,1672783.026,1698824.583,3287153.154,3478285.1100000003,S',,
P0A6T9,Glycine cleavage system H protein,gcvH,13.811,665400.0,672140.0,863070.0,1016800.0,9189839.4,9282925.54,11919859.77,14043024.8,R,,
P33195,Glycine dehydrogenase (decarboxylating),gcvP,104.38,1084000.0,1085200.0,2145300.0,2147400.0,113147920.0,113273176.0,223926414.0,224145612.0,U,,
P0A9I3,Glycine cleavage system transcriptional repressor,gcvR,20.768,128580.0,116470.0,252310.0,282370.0,2670349.44,2418848.96,5239974.08,5864260.16,S,,
P27248,Aminomethyltransferase,gcvT,40.146,1469900.0,1277100.0,2449400.0,2551200.0,59010605.4,51270456.6,98333612.4,102420475.2,R,,
P00370,NADP-specific glutamate dehydrogenase,gdhA,48.581,330330.0,291720.0,916660.0,1021700.0,16047761.73,14172049.32,44532259.46,49635207.7,U,,
P0A932,Putative polysaccharide export protein GfcE,gfcE,41.74,761.25,0.0,564.64,566.09,31774.575,0.0,23568.0736,23628.5966,U,,
P18956,Gamma-glutamyltranspeptidase;Gamma-glutamyltranspeptidase large chain;Gamma-glutamyltranspeptidase small chain,ggt,61.767,2114.0,2004.0,54591.0,59233.0,130575.43800000001,123781.068,3371922.2970000003,3658644.711,A,,
P75913,Glyoxylate/hydroxypyruvate reductase A,ghrA,35.343,187600.0,156360.0,360010.0,406660.0,6630346.800000001,5526231.48,12723833.430000002,14372584.38,S',,
P37666,Glyoxylate/hydroxypyruvate reductase B,ghrB,35.395,409280.0,415090.0,757300.0,792660.0,14486465.600000001,14692110.55,26804633.500000004,28056200.700000003,S,,
P0AF52,Guanine/hypoxanthine permease GhxP,ghxP,45.711,141510.0,101280.0,104570.0,116040.0,6468563.609999999,4629610.08,4779999.27,5304304.4399999995,R,,
P37330,Malate synthase G,glcB,80.488,70756.0,65404.0,101120.0,103960.0,5695008.928,5264237.152,8138946.56,8367532.4799999995,S,,
P0ACL5,Glc operon transcriptional activator,glcC,28.826,3048.9,4395.6,9598.2,6392.5,87887.5914,126707.56560000002,276677.7132,184270.20500000002,S,,
P0AEP9,Glycolate oxidase subunit GlcD,glcD,53.811,0.0,0.0,18344.0,27324.0,0.0,0.0,987108.984,1470331.764,C,,
P0AEQ1,Protein GlcG,glcG,13.737,124500.0,122940.0,155710.0,162210.0,1710256.5,1688826.78,2138988.27,2228278.77,S,,
P0A9S5,Glycerol dehydrogenase,gldA,38.712,33218.0,75533.0,60257.0,75546.0,1285935.216,2924033.4960000003,2332668.984,2924536.7520000003,S,,
P0A6U8,Glycogen synthase,glgA,52.822,35454.0,37079.0,224380.0,215380.0,1872751.188,1958586.938,11852200.360000001,11376802.360000001,S,,
P07762,"1,4-alpha-glucan branching enzyme GlgB",glgB,84.336,40601.0,39653.0,75594.0,96138.0,3424125.9359999998,3344175.408,6375295.584,8107894.368,S,,
P0A6V1,Glucose-1-phosphate adenylyltransferase,glgC,48.697,109760.0,100330.0,305680.0,309310.0,5344982.720000001,4885770.010000001,14885698.96,15062469.07,S,,
P0AC86,Glycogen phosphorylase,glgP,93.171,43755.0,37732.0,138470.0,165030.0,4076697.1050000004,3515528.1720000003,12901388.370000001,15376010.13,S,,
P15067,Glycogen debranching enzyme,glgX,73.576,9224.9,8290.5,31446.0,36231.0,678731.2423999999,609981.828,2313670.8959999997,2665732.056,S,,
P0A6V8,Glucokinase,glk,34.723,278700.0,286250.0,196200.0,241830.0,9677300.1,9939458.75,6812652.6,8397063.09,S,,
P31120,Phosphoglucosamine mutase,glmM,47.543,541070.0,482900.0,513730.0,529180.0,25724091.009999998,22958514.7,24424265.39,25158804.74,A,,
P17169,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],glmS,66.894,1698800.0,1642900.0,986440.0,1098000.0,113639527.2,109900152.60000001,65986917.36000001,73449612.0,U,,
P0ACC7,Bifunctional protein GlmU;UDP-N-acetylglucosamine pyrophosphorylase;Glucosamine-1-phosphate N-acetyltransferase,glmU,49.19,423210.0,417060.0,235740.0,280680.0,20817699.9,20515181.4,11596050.6,13806649.2,U,,
P0A9C5,Glutamine synthetase,glnA,51.903,2091000.0,2253400.0,838460.0,1029200.0,108529173.0,116958220.2,43518589.379999995,53418567.6,U,,
P0A9Z1,Nitrogen regulatory protein P-II 1,glnB,12.425,590380.0,577300.0,736000.0,765600.0,7335471.5,7172952.5,9144800.0,9512580.0,A,,
P27249,Bifunctional uridylyltransferase/uridylyl-removing enzyme;[Protein-PII] uridylyltransferase;[Protein-PII]-UMP uridylyl-removing enzyme,glnD,102.39,12686.0,13874.0,56659.0,59155.0,1298919.54,1420558.86,5801315.01,6056880.45,S,,
P30870,Glutamate-ammonia-ligase adenylyltransferase,glnE,108.42,48570.0,43660.0,80715.0,97279.0,5265959.4,4733617.2,8751120.3,10546989.18,S,,
P0AFB8,Nitrogen regulation protein NR(I),glnG,52.254,69660.0,66078.0,36161.0,39871.0,3640013.6399999997,3452839.812,1889556.8939999999,2083419.234,A,,
P0AEQ3,Glutamine-binding periplasmic protein,glnH,27.19,880650.0,1104400.0,867820.0,616770.0,23944873.5,30028636.0,23596025.8,16769976.3,C',,
P0AFB5,Nitrogen regulation protein NR(II),glnL,38.556,10636.0,23299.0,6562.3,7058.6,410081.616,898316.244,253016.03879999998,272151.3816,A,,
P0AEQ6,Glutamine transport system permease protein GlnP,glnP,24.364,70586.0,123460.0,99453.0,110000.0,1719757.304,3007979.44,2423072.892,2680040.0,C',,
P10346,Glutamine transport ATP-binding protein GlnQ,glnQ,26.731,335600.0,517200.0,255200.0,268650.0,8970923.6,13825273.200000001,6821751.2,7181283.15,C',,
P00962,Glutamine--tRNA ligase,glnS,63.477,666200.0,641520.0,504470.0,539410.0,42288377.4,40721765.04,32022242.189999998,34240128.57,U,,
P0AC81,Lactoylglutathione lyase,gloA,14.92,166980.0,267160.0,286900.0,192200.0,2491341.6,3986027.2,4280548.0,2867624.0,A',,
P0AC84,Hydroxyacylglutathione hydrolase,gloB,28.434,53489.0,53181.0,138670.0,150710.0,1520906.226,1512148.554,3942942.7800000003,4285288.140000001,S,,
P13035,Aerobic glycerol-3-phosphate dehydrogenase,glpD,56.75,2482.0,3281.2,7368.1,7207.1,140853.5,186208.09999999998,418139.67500000005,409002.92500000005,S,,
P0A6V5,Thiosulfate sulfurtransferase GlpE,glpE,12.082,68774.0,66578.0,84655.0,98859.0,830927.468,804395.3960000001,1022801.7100000001,1194414.438,U,,
P09391,Rhomboid protease GlpG,glpG,31.306,43090.0,37871.0,45292.0,49523.0,1348975.54,1185589.526,1417911.352,1550367.038,A',,
P0A6F3,Glycerol kinase,glpK,56.23,51182.0,55791.0,33982.0,42821.0,2877963.86,3137127.9299999997,1910807.8599999999,2407824.83,S,,
P09394,Glycerophosphoryl diester phosphodiesterase,glpQ,40.843,9627.0,9991.9,13993.0,15656.0,393195.56100000005,408099.1717,571516.099,639438.008,S,,
P0ACL0,Glycerol-3-phosphate regulon repressor,glpR,28.048,142720.0,135330.0,132460.0,146500.0,4003010.5599999996,3795735.84,3715238.0799999996,4109031.9999999995,R,,
P0A9C9,"Fructose-1,6-bisphosphatase 1 class 2",glpX,35.852,59311.0,63031.0,36457.0,32619.0,2126417.9719999996,2259787.412,1307056.3639999998,1169456.3879999998,U,,
P52101,Sensor histidine kinase GlrK,glrK,53.33,4054.2,8467.2,35738.0,41922.0,216210.48599999998,451555.776,1905907.54,2235700.26,U,,
P0AFU4,Transcriptional regulatory protein GlrR,glrR,49.148,26173.0,27208.0,45548.0,42905.0,1286350.604,1337218.784,2238593.1040000003,2108694.94,A',,
P77454,Glutaminase 1,glsA1,32.903,883.55,0.0,12651.0,14165.0,29071.445649999998,0.0,416255.853,466070.995,U,,
P0A6W0,Glutaminase 2,glsA2,33.515,60747.0,53007.0,40785.0,50479.0,2035935.705,1776529.605,1366909.275,1691803.685,R,,
P0ABH7,Citrate synthase,gltA,48.014,2583000.0,2454400.0,3973000.0,4366000.0,124020162.00000001,117845561.60000001,190759622.0,209629124.0,S,,
P09831,Glutamate synthase [NADPH] large chain,gltB,163.3,412060.0,428850.0,994600.0,1093300.0,67289398.0,70031205.0,162418180.0,178535890.0,U,,
P09832,Glutamate synthase [NADPH] small chain,gltD,52.015,386150.0,373130.0,892060.0,954020.0,20085592.25,19408356.95,46400500.9,49623350.3,U,,
P37902,Glutamate/aspartate periplasmic-binding protein,gltI,33.42,721350.0,770000.0,1324800.0,1447700.0,24107517.0,25733400.0,44274816.0,48382134.0,S,,
P0AER3,Glutamate/aspartate transport system permease protein GltJ,gltJ,27.502,24656.0,8881.3,31267.0,25283.0,678089.3119999999,244253.51259999996,859905.034,695333.066,C,,
P0AER5,Glutamate/aspartate transport system permease protein GltK,gltK,24.914,22020.0,22231.0,37562.0,38093.0,548606.28,553863.1340000001,935819.6680000001,949049.0020000001,C,,
P0AAG3,Glutamate/aspartate transport ATP-binding protein GltL,gltL,26.661,59105.0,62762.0,85297.0,92030.0,1575798.405,1673297.682,2274103.3170000003,2453611.83,S,,
P21345,Proton glutamate symport protein,gltP,47.159,0.0,7568.6,11375.0,9565.2,0.0,356927.60740000004,536433.625,451085.26680000004,U,,
P0AER8,Sodium/glutamate symport carrier protein,gltS,42.425,1087.3,1281.5,3907.3,4556.2,46128.70249999999,54367.6375,165767.20249999998,193296.78499999997,U,,
P04805,Glutamate--tRNA ligase,gltX,53.815,744780.0,689090.0,584970.0,630470.0,40080335.699999996,37083378.35,31480160.549999997,33928743.05,A',,
P27305,Glutamyl-Q tRNA(Asp) synthetase,gluQ,34.867,21725.0,20052.0,15809.0,17427.0,757485.575,699153.0839999999,551212.4029999999,607627.2089999999,C',,
P77364,Glycerate kinase,glxK,38.734,819.8,1104.9,3432.9,3206.7,31754.1332,42797.1966,132969.9486,124208.3178,U,,
P0A825,Serine hydroxymethyltransferase,glyA,45.316,3833100.0,3996000.0,2683400.0,2855400.0,173700759.60000002,181082736.0,121600954.4,129395306.4,A,,
P00960,Glycine--tRNA ligase alpha subunit,glyQ,34.774,603330.0,577340.0,611070.0,592220.0,20980197.42,20076421.16,21249348.18,20593858.28,R,,
P00961,Glycine--tRNA ligase beta subunit,glyS,76.812,926960.0,846190.0,931220.0,1045300.0,71201651.52,64997546.28,71528870.64,80291583.6,U,,
P63224,Phosphoheptose isomerase,gmhA,20.815,633750.0,634600.0,567270.0,653200.0,13191506.25,13209199.0,11807725.05,13596358.0,S',,
P63228,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",gmhB,21.294,85986.0,78611.0,104390.0,133180.0,1830985.884,1673942.634,2222880.66,2835934.92,S,,
P60546,Guanylate kinase,gmk,23.592,261730.0,252870.0,264950.0,291100.0,6174734.159999999,5965709.04,6250700.399999999,6867631.199999999,R,,
P00350,"6-phosphogluconate dehydrogenase, decarboxylating",gnd,51.481,2500100.0,2544500.0,4239500.0,3900900.0,128707648.10000001,130993404.5,218253699.5,200822232.9,A,,
P0AC92,Protein GnsA,gnsA,6.5755,522460.0,524100.0,685050.0,706970.0,3435435.73,3446219.55,4504546.275,4648681.235,A',,
P77695,Protein GnsB,gnsB,6.5476,1365100.0,1323400.0,2403100.0,2513400.0,8938128.76,8665093.84,15734537.56,16456737.84,S,,
P46859,Thermoresistant gluconokinase,gntK,19.543,8047.6,4275.2,3609.9,7770.5,157274.2468,83550.23359999999,70548.2757,151858.8815,U,,
P0ACP5,HTH-type transcriptional regulator GntR,gntR,36.422,42504.0,43019.0,20520.0,27065.0,1548080.6879999998,1566838.018,747379.44,985761.4299999999,S,,
P39835,High-affinity gluconate transporter,gntT,45.966,2472.2,581.33,0.0,399.21,113637.1452,26721.414780000003,0.0,18350.08686,C,,
P06715,Glutathione reductase,gor,48.772,375730.0,362730.0,411320.0,433730.0,18325103.56,17691067.56,20060899.04,21153879.56,S,,
P32662,Phosphoglycolate phosphatase,gph,27.389,236140.0,216230.0,200530.0,251980.0,6467638.46,5922323.47,5492316.17,6901480.22,A',,
P62707,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",gpmA,28.556,2247800.0,2111100.0,2360000.0,2545200.0,64188176.800000004,60284571.6,67392160.0,72680731.2,A,,
P0A7A2,Probable phosphoglycerate mutase GpmB,gpmB,24.065,277350.0,282980.0,182250.0,184870.0,6674427.75,6809913.7,4385846.25,4448896.55,C',,
P37689,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",gpmI,56.193,1117000.0,1077600.0,797000.0,827610.0,62767581.0,60553576.8,44785821.0,46505888.73,A',,
P25552,"Guanosine-5-triphosphate,3-diphosphate pyrophosphatase",gppA,54.871,85604.0,75518.0,71448.0,78367.0,4697177.084,4143748.1780000003,3920423.208,4300075.657000001,S',,
Q46851,L-glyceraldehyde 3-phosphate reductase,gpr,38.832,12985.0,13889.0,14528.0,12907.0,504233.52,539337.648,564151.296,501204.624,C,,
P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],gpsA,36.361,178780.0,156170.0,97846.0,128790.0,6500619.579999999,5678497.369999999,3557778.4059999995,4682933.1899999995,S,,
P0A9M5,Xanthine phosphoribosyltransferase,gpt,16.97,1454700.0,1310300.0,710710.0,821920.0,24686259.0,22235791.0,12060748.7,13947982.399999999,R,,
P68066,Autonomous glycyl radical cofactor,grcA,14.284,4008600.0,4463200.0,1588000.0,1856600.0,57258842.400000006,63752348.800000004,22682992.0,26519674.400000002,S,,
P0A6W5,Transcription elongation factor GreA,greA,17.641,1243700.0,1236200.0,767410.0,851310.0,21940111.7,21807804.2,13537879.809999999,15017959.709999999,C',,
P30128,Transcription elongation factor GreB,greB,18.527,47772.0,56580.0,67736.0,72257.0,885071.844,1048257.66,1254944.872,1338705.439,S',,
P0A6F5,60 kDa chaperonin,groL,57.328,6076500.0,5941500.0,4765900.0,5052600.0,348353592.0,340614312.0,273219515.2,289655452.8,C,,
P0A6F9,10 kDa chaperonin,groS,10.387,4398800.0,4267100.0,3138300.0,2961800.0,45690335.6,44322367.7,32597522.1,30764216.6,C,,
P09372,Protein GrpE,grpE,21.798,1576100.0,1481000.0,1270000.0,1434700.0,34355827.8,32282837.999999996,27683459.999999996,31273590.599999998,R,,
P68688,Glutaredoxin-1,grxA,9.6847,80626.0,75316.0,94230.0,96474.0,780838.6222,729412.8652,912589.281,934321.7477999999,A',,
P0AC59,Glutaredoxin-2,grxB,24.35,288650.0,269530.0,1003100.0,1132400.0,7028627.5,6563055.5,24425485.0,27573940.0,S,,
P0AC62,Glutaredoxin-3,grxC,9.1374,826170.0,810320.0,902690.0,949340.0,7549045.757999999,7404217.967999999,8248239.606,8674499.316,S',,
P0AC69,Glutaredoxin-4,grxD,12.879,1069800.0,1122200.0,1505500.0,1494300.0,13777954.2,14452813.799999999,19389334.5,19245089.7,A',,
P0A6W9,Glutamate--cysteine ligase,gshA,58.269,152600.0,151210.0,193030.0,187070.0,8891849.4,8810855.49,11247665.07,10900381.83,S',,
P04425,Glutathione synthetase,gshB,35.56,205920.0,199090.0,271030.0,298880.0,7322515.2,7079640.4,9637826.8,10628172.8,S',,
P75796,Glutathione import ATP-binding protein GsiA,gsiA,69.113,19898.0,20137.0,36585.0,39536.0,1375210.474,1391728.481,2528499.105,2732451.568,S,,
P75797,Glutathione-binding protein GsiB,gsiB,56.47,55350.0,54358.0,211670.0,253790.0,3125614.5,3069596.26,11953004.9,14331521.299999999,S,,
P75798,Glutathione transport system permease protein GsiC,gsiC,34.066,17112.0,16688.0,71890.0,42795.0,582937.392,568493.408,2449004.74,1457854.4700000002,S,,
P75799,Glutathione transport system permease protein GsiD,gsiD,33.238,3812.2,4327.6,13848.0,13856.0,126709.90359999999,143840.76880000002,460279.824,460545.728,A,,
P0AEW6,Inosine-guanosine kinase,gsk,48.448,150300.0,145220.0,72009.0,85566.0,7281734.4,7035618.5600000005,3488692.032,4145501.568,U,,
P0AES0,Bifunctional glutathionylspermidine synthetase/amidase;Glutathionylspermidine amidase;Glutathionylspermidine synthetase,gss,70.531,122580.0,113790.0,297410.0,314180.0,8645689.98,8025722.49,20976624.71,22159429.580000002,A,,
P0A9D2,Glutathione S-transferase GstA,gstA,22.868,200470.0,194850.0,814960.0,903710.0,4584347.96,4455829.8,18636505.279999997,20666040.279999997,S',,
P0ACA7,Glutathione S-transferase GstB,gstB,23.713,108020.0,110350.0,329770.0,401230.0,2561478.2600000002,2616729.5500000003,7819836.010000001,9514366.99,S,,
P04079,GMP synthase [glutamine-hydrolyzing],guaA,58.679,1718600.0,1690300.0,866570.0,947910.0,100845729.4,99185113.7,50849461.03,55622410.89,R,,
P0ADG7,Inosine-5-monophosphate dehydrogenase,guaB,52.022,3571600.0,3372000.0,1835300.0,2150800.0,185801775.2,175418184.0,95475976.6,111888917.6,R,,
P60560,GMP reductase,guaC,37.383,683860.0,651020.0,556930.0,569390.0,25564738.380000003,24337080.66,20819714.19,21285506.37,A,,
P76641,Guanine deaminase,guaD,50.244,4509.5,2565.8,9558.3,9652.7,226575.318,128916.0552,480247.2252,484990.2588,U,,
P0AES2,Glucarate dehydratase,gudD,49.14,5273.5,3258.9,7728.4,8295.1,259139.79,160142.34600000002,379773.576,407621.21400000004,S,,
P17115,Arabinose 5-phosphate isomerase GutQ,gutQ,34.031,22961.0,31062.0,45849.0,44333.0,781385.791,1057070.922,1560287.319,1508696.3229999999,S,,
P0AES4,DNA gyrase subunit A,gyrA,96.962,517990.0,496230.0,482810.0,552730.0,50225346.38,48115453.26,46814223.22,53593806.260000005,A',,
P0AES6,DNA gyrase subunit B,gyrB,89.949,574590.0,557760.0,451620.0,491680.0,51683795.91,50169954.24,40622767.38,44226124.32,R,,
P0ABW0,3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit,hcaC,11.329,0.0,0.0,5999.8,7797.4,0.0,0.0,67971.7342,88336.7446,U,,
P77650,3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component,hcaD,43.978,0.0,0.0,1717.6,2335.3,0.0,0.0,75536.6128,102701.82340000001,U,,
Q47142,Probable 3-phenylpropionic acid transporter,hcaT,41.592,1937.9,1730.0,2021.2,1967.4,80601.13680000001,71954.16,84065.7504,81828.1008,U,,
P31658,Molecular chaperone Hsp31 and glyoxalase 3,hchA,31.19,85818.0,77337.0,568280.0,608950.0,2676663.42,2412141.0300000003,17724653.2,18993150.5,S,,
P69931,DnaA regulatory inactivator Hda,hda,26.632,22229.0,17682.0,26025.0,28440.0,592002.728,470907.02400000003,693097.8,757414.0800000001,S',,
P0AES9,Acid stress chaperone HdeA,hdeA,11.857,42340.0,32602.0,1314700.0,1312300.0,502025.37999999995,386561.914,15588397.899999999,15559941.1,C,,
P0AET2,Acid stress chaperone HdeB,hdeB,12.043,2743.4,2507.8,232700.0,222780.0,33038.7662,30201.435400000002,2802406.0999999996,2682939.54,A,,
P0A8R9,HTH-type transcriptional regulator HdfR,hdfR,31.746,96867.0,93608.0,91606.0,59699.0,3075139.7819999997,2971679.568,2908124.076,1895204.454,S,,
P0AET8,7-alpha-hydroxysteroid dehydrogenase,hdhA,26.778,99680.0,98174.0,1164800.0,1304700.0,2669231.04,2628903.372,31191014.4,34937256.6,S',,
P15038,Helicase IV,helD,77.975,30387.0,29338.0,43790.0,43481.0,2369426.3249999997,2287630.55,3414525.2499999995,3390430.9749999996,S,,
P0A6X1,Glutamyl-tRNA reductase,hemA,46.306,14034.0,13846.0,17710.0,20409.0,649858.404,641152.8759999999,820079.26,945059.154,U,,
P0ACB2,Delta-aminolevulinic acid dehydratase,hemB,35.624,422380.0,408350.0,478870.0,434520.0,15046865.120000001,14547060.4,17059264.880000003,15479340.48,S,,
P06983,Porphobilinogen deaminase,hemC,33.851,169270.0,162630.0,189520.0,195670.0,5729958.77,5505188.13,6415441.52,6623625.17,S',,
P09126,Uroporphyrinogen-III synthase,hemD,27.798,29401.0,30616.0,43790.0,38691.0,817288.9979999999,851063.568,1217274.42,1075532.4179999998,S,,
P29680,Uroporphyrinogen decarboxylase,hemE,39.248,204530.0,193120.0,204680.0,248370.0,8027393.4399999995,7579573.76,8033280.64,9748025.76,S',,
P36553,Oxygen-dependent coproporphyrinogen-III oxidase,hemF,34.322,20464.0,16686.0,9768.9,12114.0,702365.408,572696.892,335288.18580000004,415776.70800000004,U,,
P0ACB4,Protoporphyrinogen IX dehydrogenase [menaquinone],hemG,21.226,89997.0,75691.0,134150.0,138970.0,1910276.322,1606617.166,2847467.9,2949777.2199999997,S',,
P23871,Ferrochelatase,hemH,35.884,32209.0,19239.0,25146.0,25255.0,1155787.756,690372.276,902339.064,906250.42,S',,
P23893,"Glutamate-1-semialdehyde 2,1-aminomutase",hemL,45.366,1436500.0,1394100.0,1640500.0,1634100.0,65168259.0,63244740.6,74422923.0,74132580.6,A,,
P32131,Oxygen-independent coproporphyrinogen-III oxidase,hemN,52.728,86127.0,78971.0,118840.0,126700.0,4541304.456,4163982.8880000003,6266195.5200000005,6680637.600000001,S',,
P09127,Putative uroporphyrinogen-III C-methyltransferase,hemX,42.962,273070.0,256750.0,340440.0,354950.0,11731633.340000002,11030493.5,14625983.280000001,15249361.9,S,,
P0ACB7,Protein HemY,hemY,45.244,203140.0,190180.0,222620.0,231890.0,9190866.16,8604503.92,10072219.28,10491631.16,S,,
P46118,HTH-type transcriptional regulator HexR,hexR,31.975,38875.0,43281.0,8426.4,9514.9,1243028.125,1383909.975,269434.14,304238.9275,C,,
P0ABC3,Modulator of FtsH protease HflC,hflC,37.649,427500.0,420010.0,539640.0,583810.0,16094947.5,15812956.49,20316906.36,21979862.69,S,,
P25746,High frequency lysogenization protein HflD,hflD,22.947,199580.0,187940.0,161080.0,169330.0,4579762.26,4312659.18,3696302.76,3885615.51,R,,
P0ABC7,Modulator of FtsH protease HflK,hflK,45.544,532910.0,502340.0,677430.0,685590.0,24270853.04,22878572.959999997,30852871.919999998,31224510.959999997,A',,
P25519,GTPase HflX,hflX,48.327,141350.0,130510.0,172780.0,182720.0,6831021.45,6307156.77,8349939.06,8830309.44,R,,
P0A6X3,RNA-binding protein Hfq,hfq,11.166,1824700.0,1628800.0,2611100.0,2811100.0,20374600.2,18187180.8,29155542.6,31388742.6,C',,
P0ACE3,Hemolysin expression-modulating protein Hha,hha,8.6279,111660.0,115230.0,256180.0,334120.0,963391.314,994192.917,2210295.4220000003,2882753.9480000003,R,,
P67697,Antitoxin HicB,hicB,15.246,3577.7,5101.9,11319.0,14223.0,54545.614199999996,77783.5674,172569.47400000002,216843.858,U,,
P0ACE7,HIT-like protein HinT,hinT,13.241,518580.0,621200.0,1055900.0,1100700.0,6866517.78,8225309.2,13981171.9,14574368.7,S',,
P23874,Serine/threonine-protein kinase HipA,hipA,49.275,919.25,1629.8,2574.6,3592.8,45296.04375,80308.39499999999,126863.415,177035.22,U,,
P23873,Antitoxin HipB,hipB,10.016,26758.0,21943.0,34893.0,38476.0,268008.128,219781.088,349488.288,385375.616,U,,
P10371,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,hisA,26.032,177170.0,175720.0,445280.0,450460.0,4612089.44,4574343.04,11591528.96,11726374.72,A,,
P06987,Histidine biosynthesis bifunctional protein HisB;Histidinol-phosphatase;Imidazoleglycerol-phosphate dehydratase,hisB,40.278,275620.0,272520.0,694710.0,771340.0,11101422.36,10976560.56,27981529.38,31068032.52,A,,
P06986,Histidinol-phosphate aminotransferase,hisC,39.36,178800.0,177600.0,465690.0,510300.0,7037568.0,6990336.0,18329558.4,20085408.0,A,,
P06988,Histidinol dehydrogenase,hisD,46.11,339200.0,395440.0,824300.0,850270.0,15640512.0,18233738.4,38008473.0,39205949.7,A,,
P60664,Imidazole glycerol phosphate synthase subunit HisF,hisF,28.454,198970.0,210950.0,1007500.0,606750.0,5661492.38,6002371.3,28667405.0,17264464.5,A,,
P60757,ATP phosphoribosyltransferase,hisG,33.366,300730.0,336600.0,675160.0,753730.0,10034157.18,11230995.6,22527388.56,25148955.18,A,,
P60595,Imidazole glycerol phosphate synthase subunit HisH,hisH,21.653,166850.0,144190.0,462470.0,484560.0,3612803.05,3122146.07,10013862.91,10492177.68,A,,
P06989,Histidine biosynthesis bifunctional protein HisIE;Phosphoribosyl-AMP cyclohydrolase;Phosphoribosyl-ATP pyrophosphatase,hisI,22.756,162990.0,148410.0,596740.0,551730.0,3709000.44,3377217.96,13579415.44,12555167.88,A,,
P0AEU0,Histidine-binding periplasmic protein,hisJ,28.483,920280.0,905760.0,862250.0,844630.0,26212335.240000002,25798762.080000002,24559466.75,24057596.29,A,,
P0AEU3,Histidine transport system permease protein HisM,hisM,26.869,210840.0,171240.0,98951.0,77675.0,5665059.96,4601047.56,2658714.4189999998,2087049.575,A,,
P07109,Histidine transport ATP-binding protein HisP,hisP,28.653,117790.0,122420.0,172760.0,177800.0,3375036.8699999996,3507700.26,4950092.279999999,5094503.399999999,S,,
P52094,Histidine transport system permease protein HisQ,hisQ,24.649,14739.0,12823.0,26335.0,25246.0,363301.61100000003,316074.12700000004,649131.415,622288.654,A',,
P60906,Histidine--tRNA ligase,hisS,47.029,651010.0,627460.0,607100.0,634940.0,30616349.290000003,29508816.340000004,28551305.900000002,29860593.26,U,,
P76341,5-hydroxyisourate hydrolase,hiuH,15.459,9967.4,9154.3,22229.0,25172.0,154086.0366,141516.32369999998,343638.111,389133.948,S,,
P67910,ADP-L-glycero-D-manno-heptose-6-epimerase,hldD,34.893,1184100.0,1145400.0,845570.0,887300.0,41316801.300000004,39966442.2,29504474.01,30960558.900000002,A',,
P76658,Bifunctional protein HldE;D-beta-D-heptose 7-phosphate kinase;D-beta-D-heptose 1-phosphate adenylyltransferase,hldE,51.05,414960.0,405700.0,369150.0,412780.0,21183708.0,20710985.0,18845107.5,21072419.0,S,,
P24232,Flavohemoprotein,hmp,43.867,95394.0,93410.0,79025.0,89856.0,4184648.5979999998,4097616.4699999997,3466589.675,3941713.152,C,,
P0ACF8,DNA-binding protein H-NS,hns,15.539,5674700.0,5424000.0,6829100.0,7215700.0,88179163.3,84283536.0,106117384.89999999,112124762.3,S',,
P28630,DNA polymerase III subunit delta,holA,38.703,31432.0,26271.0,28439.0,30046.0,1216512.696,1016766.513,1100674.617,1162870.338,U,,
P28631,DNA polymerase III subunit delta,holB,36.936,14376.0,15911.0,22667.0,26081.0,530991.936,587688.696,837228.312,963327.816,R,,
P28905,DNA polymerase III subunit chi,holC,16.633,26276.0,25993.0,36516.0,40009.0,437048.708,432341.56899999996,607370.6279999999,665469.6969999999,C',,
P28632,DNA polymerase III subunit psi,holD,15.174,15938.0,17589.0,16924.0,14043.0,241843.212,266895.486,256804.77599999998,213088.482,U,,
